cr_returned_date_sk|cr_returned_time_sk|cr_item_sk|cr_refunded_customer_sk|cr_refunded_cdemo_sk|cr_refunded_hdemo_sk|cr_refunded_addr_sk|cr_returning_customer_sk|cr_returning_cdemo_sk|cr_returning_hdemo_sk|cr_returning_addr_sk|cr_call_center_sk|cr_catalog_page_sk|cr_ship_mode_sk|cr_warehouse_sk|cr_reason_sk|cr_order_number|cr_return_quantity|cr_return_amount|cr_return_tax|cr_return_amt_inc_tax|cr_fee|cr_return_ship_cost|cr_refunded_cash|cr_reversed_charge|cr_store_credit|cr_net_loss
2450861|58939|526|4601|29675|6189|4583|4601|29675|4547|4583|1|9|11|1|2|2|16|270.08|2.70|272.78|70.77|295.52|113.43|65.79|90.86|368.99
2450985|79214|608|4601|29675|6189|4583|4601|29675|5692|4583|1|36|8|1|1|2|9|400.59|16.02|416.61|98.83|136.62|356.52|14.10|29.97|251.47
2450901|22932|826|7572|53737|6622|1147|5704|13292|6097|3022|1|39|17|1|1|3|28|2316.44|138.98|2455.42|32.46|165.20|602.27|582.81|1131.36|336.64
2450939|36548|964|7572|53737|6622|1147|9141|187598|4450|4175|1|49|4|1|1|3|5|254.10|10.16|264.26|38.97|68.80|38.11|125.27|90.72|117.93
2451043|65563|1315|1351|144699|5567|3122|1838|58322|1900|1398|1|31|12|1|1|6|4|21.44|1.50|22.94|66.64|85.76|3.64|9.07|8.73|153.90
2450980|41818|250|7674|36138|4395|3579|4637|137903|1891|1246|1|88|10|1|3|9|21|870.87|52.25|923.12|42.83|24.78|209.00|66.18|595.69|119.86
2450995|9143|361|9276|23666|1703|4340|9885|6143|3178|1820|1|20|12|1|1|10|22|1477.96|133.01|1610.97|36.69|365.64|1005.01|241.20|231.75|535.34
2451025|18121|1351|9276|23666|1703|4340|3280|186873|1047|2421|1|53|16|1|2|10|21|69.51|5.56|75.07|61.91|49.35|56.99|9.26|3.26|116.82
2450908|26998|1048|1731|85723|5715|2107|4526|92495|6559|2743|1|78|1|1|1|11|13|1114.49|78.01|1192.50|46.72|545.87|89.15|71.77|953.57|670.60
2450998|50087|850|1731|85723|5715|2107|2166|87216|6613|1650|1|44|14|1|3|11|20|705.60|7.05|712.65|22.21|162.80|77.61|69.07|558.92|192.06
2451001|40271|538|6748|83584|2773|3362|8785|49749|3821|13|1|98|9|1|2|12|6|454.08|9.08|463.16|4.32|14.16|186.17|99.12|168.79|27.56
