cd_demo_sk|cd_gender|cd_marital_status|cd_education_status|cd_purchase_estimate|cd_credit_rating|cd_dep_count|cd_dep_employed_count|cd_dep_college_count
1|M|M|Primary|500|Good|0|0|0
2|F|M|Primary|500|Good|0|0|0
3|M|S|Primary|500|Good|0|0|0
4|F|S|Primary|500|Good|0|0|0
5|M|D|Primary|500|Good|0|0|0
6|F|D|Primary|500|Good|0|0|0
7|M|W|Primary|500|Good|0|0|0
8|F|W|Primary|500|Good|0|0|0
9|M|U|Primary|500|Good|0|0|0
10|F|U|Primary|500|Good|0|0|0
11|M|M|Secondary|500|Good|0|0|0
12|F|M|Secondary|500|Good|0|0|0
13|M|S|Secondary|500|Good|0|0|0
14|F|S|Secondary|500|Good|0|0|0
15|M|D|Secondary|500|Good|0|0|0
16|F|D|Secondary|500|Good|0|0|0
17|M|W|Secondary|500|Good|0|0|0
18|F|W|Secondary|500|Good|0|0|0
19|M|U|Secondary|500|Good|0|0|0
20|F|U|Secondary|500|Good|0|0|0
21|M|M|College|500|Good|0|0|0
22|F|M|College|500|Good|0|0|0
23|M|S|College|500|Good|0|0|0
24|F|S|College|500|Good|0|0|0
25|M|D|College|500|Good|0|0|0
26|F|D|College|500|Good|0|0|0
27|M|W|College|500|Good|0|0|0
28|F|W|College|500|Good|0|0|0
29|M|U|College|500|Good|0|0|0
30|F|U|College|500|Good|0|0|0
31|M|M|2 yr Degree|500|Good|0|0|0
32|F|M|2 yr Degree|500|Good|0|0|0
33|M|S|2 yr Degree|500|Good|0|0|0
34|F|S|2 yr Degree|500|Good|0|0|0
35|M|D|2 yr Degree|500|Good|0|0|0
36|F|D|2 yr Degree|500|Good|0|0|0
37|M|W|2 yr Degree|500|Good|0|0|0
38|F|W|2 yr Degree|500|Good|0|0|0
39|M|U|2 yr Degree|500|Good|0|0|0
40|F|U|2 yr Degree|500|Good|0|0|0
41|M|M|4 yr Degree|500|Good|0|0|0
42|F|M|4 yr Degree|500|Good|0|0|0
43|M|S|4 yr Degree|500|Good|0|0|0
44|F|S|4 yr Degree|500|Good|0|0|0
45|M|D|4 yr Degree|500|Good|0|0|0
46|F|D|4 yr Degree|500|Good|0|0|0
47|M|W|4 yr Degree|500|Good|0|0|0
48|F|W|4 yr Degree|500|Good|0|0|0
49|M|U|4 yr Degree|500|Good|0|0|0
50|F|U|4 yr Degree|500|Good|0|0|0
51|M|M|Advanced Degree|500|Good|0|0|0
52|F|M|Advanced Degree|500|Good|0|0|0
53|M|S|Advanced Degree|500|Good|0|0|0
54|F|S|Advanced Degree|500|Good|0|0|0
55|M|D|Advanced Degree|500|Good|0|0|0
56|F|D|Advanced Degree|500|Good|0|0|0
57|M|W|Advanced Degree|500|Good|0|0|0
58|F|W|Advanced Degree|500|Good|0|0|0
59|M|U|Advanced Degree|500|Good|0|0|0
60|F|U|Advanced Degree|500|Good|0|0|0
61|M|M|Unknown|500|Good|0|0|0
62|F|M|Unknown|500|Good|0|0|0
63|M|S|Unknown|500|Good|0|0|0
64|F|S|Unknown|500|Good|0|0|0
65|M|D|Unknown|500|Good|0|0|0
66|F|D|Unknown|500|Good|0|0|0
67|M|W|Unknown|500|Good|0|0|0
68|F|W|Unknown|500|Good|0|0|0
69|M|U|Unknown|500|Good|0|0|0
70|F|U|Unknown|500|Good|0|0|0
71|M|M|Primary|1000|Good|0|0|0
72|F|M|Primary|1000|Good|0|0|0
73|M|S|Primary|1000|Good|0|0|0
74|F|S|Primary|1000|Good|0|0|0
75|M|D|Primary|1000|Good|0|0|0
76|F|D|Primary|1000|Good|0|0|0
77|M|W|Primary|1000|Good|0|0|0
78|F|W|Primary|1000|Good|0|0|0
79|M|U|Primary|1000|Good|0|0|0
80|F|U|Primary|1000|Good|0|0|0
81|M|M|Secondary|1000|Good|0|0|0
82|F|M|Secondary|1000|Good|0|0|0
83|M|S|Secondary|1000|Good|0|0|0
84|F|S|Secondary|1000|Good|0|0|0
85|M|D|Secondary|1000|Good|0|0|0
