wr_returned_date_sk|wr_returned_time_sk|wr_item_sk|wr_refunded_customer_sk|wr_refunded_cdemo_sk|wr_refunded_hdemo_sk|wr_refunded_addr_sk|wr_returning_customer_sk|wr_returning_cdemo_sk|wr_returning_hdemo_sk|wr_returning_addr_sk|wr_web_page_sk|wr_reason_sk|wr_order_number|wr_return_quantity|wr_return_amt|wr_return_tax|wr_return_amt_inc_tax|wr_fee|wr_return_ship_cost|wr_refunded_cash|wr_reversed_charge|wr_account_credit|wr_net_loss
2451653|7022|1402|6224|51235|3446|4057|6224|51235|3446|4057|2|1|1|10|698.20|13.96|712.16|18.63|820.30|300.22|382.06|15.92|852.89
2451627|64915|758|3811|18405|199|3793|3811|18405|199|3793|1|3|1|47|1248.79|49.95|1298.74|61.81|709.23|262.24|128.25|858.30|820.99
2452719|11945|439|7625|84830|5475|1200|7625|84830|5475|1200|6|3|2|8|298.48|26.86|325.34|40.26|192.24|5.96|187.21|105.31|259.36
2451785|62343|728|4060|158225|6357|4329|4060|158225|6357|4329|5|2|3|14|406.00|32.48|438.48|92.32|256.34|406.00|0.00|0.00|381.14
2452169|79965|677|1502|38440|6898|2196|1502|38440|6898|2196|1|1|5|38|637.64|6.37|644.01|43.95|392.16|76.51|448.90|112.23|442.48
2451654|76763|181|3762|44757|6825|533|3762|44757|6825|533|4|1|6|30|1655.40|49.66|1705.06|34.63|93.00|993.24|79.45|582.71|177.29
2451403|66912|1327|3748|162383|6585|2780|3748|162383|6585|2780|1|1|7|59|269.04|24.21|293.25|89.19|807.71|247.51|15.71|5.82|921.11
2451071|47660|812|7492|115346|1393|4567|7492|115346|1393|4567|1|1|9|12|1467.00|117.36|1584.36|31.38|589.80|850.86|314.23|301.91|738.54
2451025|41738|1786|4119|105016|1240|1377|4119|105016|1240|1377|4|3|9|2|89.60|0.00|89.60|59.44|83.20|46.59|3.44|39.57|142.64
2450970|56150|1564|2393|165150|3267|1104|2393|165150|3267|1104|2|2|9|40|484.00|19.36|503.36|55.27|3710.40|411.40|50.09|22.51|3785.03
2452410|51583|41|3077|163229|3061|3453|3077|163229|3061|3453|1|1|14|4|79.68|2.39|82.07|63.26|32.12|69.32|0.82|9.54|97.77
2451500|23720|574|7942|81338|3567|3203|7942|81338|3567|3203|1|2|15|26|656.50|26.26|682.76|81.95|585.52|45.95|348.01|262.54|693.73
||1204||167177|5032|1320||167177|||4|1|15||708.66|||||687.40|3.82||
2451619|69877|476|5171|167177|5032|1320|5171|167177|5032|1320|4|1|15|18|1970.64|177.35|2147.99|23.54|223.92|1694.75|110.35|165.54|424.81
2452569|42371|1549|4470|44758|5093|981|4470|44758|5093|981|3|3|16|3|61.02|4.27|65.29|47.13|10.50|38.44|15.12|7.46|61.90
2452558|29896|61|3483|105242|3114|2113|3483|105242|3114|2113|6|3|17|78|1538.94|107.72|1646.66|60.99|1230.84|538.62|540.17|460.15|1399.55
2452800||894||31639||3790||31639|2038|3790||2|19|6||9.39|||6.48||8.03|81.24|
2452901|75507|621|6244|108473|3949|2178|6244|108473|3949|2178|6|3|19|18|905.04|45.25|950.29|77.90|23.76|380.11|136.48|388.45|146.91
2452762|60447|1527|9797|7413|3236|1932|9797|7413|3236|1932|1|3|19|13|35.49|0.35|35.84|95.21|9.62|11.71|11.41|12.37|105.18
2451704|73535|781|7505|43342|6506|4583|7505|43342|6506|4583|5|1|20|6|263.82|18.46|282.28|94.56|275.04|184.67|56.19|22.96|388.06
2452765|33955|324|4236|167197|3518|4159|4236|167197|3518|4159|1|1|21|1|13.68|1.09|14.77|92.57|2.82|9.84|2.38|1.46|96.48
2451351|43967|98|7155|65049|5977|4618|7155|65049|5977|4618|4|1|22|42|1553.58|108.75|1662.33|99.33|735.84|46.60|301.39|1205.59|943.92
2451300|3039|1660|7972|25831|5977|4356|7972|25831|5977|4356|4|2|23|10|9.20|0.00|9.20|29.60|74.20|0.09|8.56|0.55|103.80
2451188|18945|1702|8099|16488|2877|3819|8099|16488|2877|3819|4|1|23|32|220.80|19.87|240.67|82.32|1325.76|13.24|95.47|112.09|1427.95
2452204|65672|861|4949|134964|1106|2161|4949|134964|1106|2161|5|3|24|28|3418.24|102.54|3520.78|70.42|1882.44|3281.51|101.18|35.55|2055.40
2452505|30869|325|3191|190442|5566|2130|3191|190442|5566|2130|6|2|25|10|1480.60|29.61|1510.21|76.59|460.20|814.33|359.78|306.49|566.40
||1146|6355|||||156576|2830||6|3|25|||44.36|1153.58||915.42|288.39|295.49|525.34|1040.43
||267|||4610|593||827|||6||25|||26.05||71.10||286.55|396.22|619.73|1118.15
