ws_sold_date_sk|ws_sold_time_sk|ws_ship_date_sk|ws_item_sk|ws_bill_customer_sk|ws_bill_cdemo_sk|ws_bill_hdemo_sk|ws_bill_addr_sk|ws_ship_customer_sk|ws_ship_cdemo_sk|ws_ship_hdemo_sk|ws_ship_addr_sk|ws_web_page_sk|ws_web_site_sk|ws_ship_mode_sk|ws_warehouse_sk|ws_promo_sk|ws_order_number|ws_quantity|ws_wholesale_cost|ws_list_price|ws_sales_price|ws_ext_discount_amt|ws_ext_sales_price|ws_ext_wholesale_cost|ws_ext_list_price|ws_ext_tax|ws_coupon_amt|ws_ext_ship_cost|ws_net_paid|ws_net_paid_inc_tax|ws_net_paid_inc_ship|ws_net_paid_inc_ship_tax|ws_net_profit
2451383|73313|2451482|544|3074|20245|1096|907|5919|41329|1140|1351|1|1|4|1|6|1|57|33.59|59.45|38.04|1220.37|2168.28|1914.63|3388.65|50.95|1149.18|575.70|1019.10|1070.05|1594.80|1645.75|-895.53
2451383|73313|2451411|190|3074|20245|1096|907|5919|41329|1140|1351|4|1|3|1|1|1|38|29.83|48.92|26.41|855.38|1003.58|1133.54|1858.96|30.10|0.00|910.86|1003.58|1033.68|1914.44|1944.54|-129.96
2451383|73313|2451413|1556|3074|20245|1096|907|5919|41329|1140|1351|4|1|10|1|30|1|32|49.72|107.89|97.10|345.28|3107.20|1591.04|3452.48|124.28|0.00|828.48|3107.20|3231.48|3935.68|4059.96|1516.16
2451383|73313|2451393|1177|3074|20245|1096|907|5919|41329|1140|1351|2|2|6|1|3|1|65|69.18|112.07|22.41|5827.90|1456.65|4496.70|7284.55|29.13|0.00|2476.50|1456.65|1485.78|3933.15|3962.28|-3040.05
2451383|73313|2451502|862|3074|20245|1096|907|5919|41329|1140|1351|2|2|2|1|18|1|58|36.62|41.38|16.13|1464.50|935.54|2123.96|2400.04|84.19|0.00|167.62|935.54|1019.73|1103.16|1187.35|-1188.42
2451383|73313|2451421|256|3074|20245|1096|907|5919|41329|1140|1351|2|2|2|1|5|1|90|72.05|161.39|27.43|12056.40|2468.70|6484.50|14525.10|74.06|0.00|4647.60|2468.70|2542.76|7116.30|7190.36|-4015.80
2451383|73313|2451457|1402|3074|20245|1096|907|5919|41329|1140|1351|2|2|16|1|23|1|15|83.92|174.55|69.82|1570.95|1047.30|1258.80|2618.25|20.94|0.00|392.70|1047.30|1068.24|1440.00|1460.94|-211.50
2451383|73313|2451430|1735|3074|20245|1096|907|5919|41329|1140|1351|1|2|14|1|22|1|16|45.27|128.56|68.13|966.88|1090.08|724.32|2056.96|87.20|0.00|370.24|1090.08|1177.28|1460.32|1547.52|365.76
2451383|73313|2451458|758|3074|20245|1096|907|5919|41329|1140|1351|1|2|8|1|19|1|54|53.45|60.39|26.57|1826.28|1434.78|2886.30|3261.06|48.78|215.21|488.70|1219.57|1268.35|1708.27|1757.05|-1666.73
2452625|34964|2452675|439|2296|51930|2684|2278|7428|103153|3907|901|6|1|20|1|17|2|37|37.65|63.25|37.31|959.78|1380.47|1393.05|2340.25|124.24|0.00|537.98|1380.47|1504.71|1918.45|2042.69|-12.58
2452625|34964|2452716|1059|2296|51930|2684|2278|7428|103153|3907|901|1|3|9|1|13|2|100|17.10|47.70|28.62|1908.00|2862.00|1710.00|4770.00|28.62|0.00|1192.00|2862.00|2890.62|4054.00|4082.62|1152.00
2452625|34964|2452715|846|2296|51930|2684|2278|7428|103153|3907|901|6|1|6|1|21|2|27|79.79|225.00|58.50|4495.50|1579.50|2154.33|6075.00|15.79|0.00|1822.50|1579.50|1595.29|3402.00|3417.79|-574.83
2452625|34964|2452729|15|2296|51930|2684|2278|7428|103153|3907|901|1|1|18|1|19|2|68|36.43|109.29|103.82|371.96|7059.76|2477.24|7431.72|0.00|0.00|1411.68|7059.76|7059.76|8471.44|8471.44|4582.52
2452625|34964|2452741|1491|2296|51930|2684|2278|7428|103153|3907|901|6|1|19|1|15|2|18|35.69|102.78|99.69|55.62|1794.42|642.42|1850.04|17.94|0.00|73.98|1794.42|1812.36|1868.40|1886.34|1152.00
