model,regime,feature,importance
catboost,plan_time,estimated_total_cost,15.320171436198427
catboost,plan_time,max_subtree_cost,13.140073598686362
catboost,plan_time,estimated_startup_cost,9.853165725067651
catboost,plan_time,planning_time_ms,6.843994418962406
catboost,plan_time,num_scans,5.876486037445062
catboost,plan_time,bitmap_heap_scan_count,5.4620359011094495
catboost,plan_time,estimated_rows,4.783716703875837
catboost,plan_time,index_scan_count,4.485549225534462
catboost,plan_time,aggregate_count,3.8366194436052443
catboost,plan_time,bitmap_index_scan_count,3.2583953857663546
catboost,plan_time,nested_loop_count,3.2408309467818386
catboost,plan_time,total_nodes,2.998048839778487
catboost,plan_time,num_joins,2.9601934361826645
catboost,plan_time,tree_depth,2.6513445562668867
catboost,plan_time,num_aggregates,2.6277555232924876
catboost,plan_time,hash_count,2.1719682539575818
catboost,plan_time,sort_count,2.0531776253822582
catboost,plan_time,seq_scan_count,1.742345831155366
catboost,plan_time,hash_join_count,1.3952820537106787
catboost,plan_time,gather_count,1.2682104563072418
catboost,plan_time,num_sorts,0.8890381053541911
catboost,plan_time,gather_merge_count,0.8798504175429083
catboost,plan_time,materialize_count,0.5767384144004063
catboost,plan_time,limit_count,0.5479370831954591
catboost,plan_time,merge_join_count,0.33745986017745566
catboost,plan_time,index_only_scan_count,0.28742082045473927
catboost,plan_time,root_node_type__Aggregate,0.2440562130303117
catboost,plan_time,root_node_type__Limit,0.22255667896399062
catboost,plan_time,root_node_type__Sort,0.04316364263149356
catboost,plan_time,incremental_sort_count,0.0013551567841746917
catboost,plan_time,root_node_type__Nested Loop,0.0010582083981330464
extra_trees,plan_time,estimated_startup_cost,0.10631239225020381
extra_trees,plan_time,estimated_total_cost,0.10234451652880486
extra_trees,plan_time,tree_depth,0.09521853212691345
extra_trees,plan_time,max_subtree_cost,0.09064843431140296
extra_trees,plan_time,num_joins,0.0743810463862858
extra_trees,plan_time,estimated_rows,0.05185367543263426
extra_trees,plan_time,bitmap_index_scan_count,0.0462894663204036
extra_trees,plan_time,gather_count,0.04623731691248694
extra_trees,plan_time,index_scan_count,0.045496602280741816
extra_trees,plan_time,num_scans,0.043032772007440226
extra_trees,plan_time,bitmap_heap_scan_count,0.03932492067110325
extra_trees,plan_time,planning_time_ms,0.035461133138332684
extra_trees,plan_time,total_nodes,0.035443201533720256
extra_trees,plan_time,nested_loop_count,0.02251774911187195
extra_trees,plan_time,gather_merge_count,0.020216564573039827
extra_trees,plan_time,hash_count,0.016821120909966396
extra_trees,plan_time,num_aggregates,0.01621751615721313
extra_trees,plan_time,aggregate_count,0.015822891358731838
extra_trees,plan_time,hash_join_count,0.01567932901358227
extra_trees,plan_time,root_node_type__Aggregate,0.013747105125926877
extra_trees,plan_time,seq_scan_count,0.013706530572580596
extra_trees,plan_time,materialize_count,0.011182523041903664
extra_trees,plan_time,num_sorts,0.008594904012443632
extra_trees,plan_time,limit_count,0.007756151639723375
extra_trees,plan_time,sort_count,0.007545264304700638
extra_trees,plan_time,root_node_type__Limit,0.005785225784467539
extra_trees,plan_time,root_node_type__Sort,0.0056361027787466675
extra_trees,plan_time,index_only_scan_count,0.004246224681868369
extra_trees,plan_time,merge_join_count,0.0013977746873553487
extra_trees,plan_time,root_node_type__Nested Loop,0.000658316687929457
extra_trees,plan_time,incremental_sort_count,0.00042469565747457684
gradient_boosting,plan_time,max_subtree_cost,0.2174840172785732
gradient_boosting,plan_time,estimated_total_cost,0.14961872854295868
gradient_boosting,plan_time,estimated_startup_cost,0.130532035640519
gradient_boosting,plan_time,planning_time_ms,0.08302899890433145
gradient_boosting,plan_time,estimated_rows,0.07663054494974414
gradient_boosting,plan_time,bitmap_index_scan_count,0.05261505210813119
gradient_boosting,plan_time,bitmap_heap_scan_count,0.0493681547482137
gradient_boosting,plan_time,index_scan_count,0.04739964421952984
gradient_boosting,plan_time,total_nodes,0.04518702539899062
gradient_boosting,plan_time,num_scans,0.03525826384214556
gradient_boosting,plan_time,tree_depth,0.033460115793140704
gradient_boosting,plan_time,num_aggregates,0.014274628227779501
gradient_boosting,plan_time,num_joins,0.013437801702170188
gradient_boosting,plan_time,sort_count,0.012072413431103575
gradient_boosting,plan_time,aggregate_count,0.00801224022055386
gradient_boosting,plan_time,nested_loop_count,0.005839141088995526
gradient_boosting,plan_time,seq_scan_count,0.004800289632465101
gradient_boosting,plan_time,gather_count,0.0047142837013475995
gradient_boosting,plan_time,gather_merge_count,0.004504900805967063
gradient_boosting,plan_time,num_sorts,0.003915564870528155
gradient_boosting,plan_time,materialize_count,0.003580809843439373
gradient_boosting,plan_time,root_node_type__Aggregate,0.0013987351508178115
gradient_boosting,plan_time,hash_join_count,0.0010168453556490694
gradient_boosting,plan_time,hash_count,0.0008009961983939833
gradient_boosting,plan_time,root_node_type__Limit,0.0004883464179468116
gradient_boosting,plan_time,limit_count,0.00020867495881353343
gradient_boosting,plan_time,merge_join_count,0.00013425158320556015
gradient_boosting,plan_time,index_only_scan_count,0.00011649803306060152
gradient_boosting,plan_time,root_node_type__Sort,7.27233907156725e-05
gradient_boosting,plan_time,root_node_type__Nested Loop,2.8273960769033754e-05
gradient_boosting,plan_time,incremental_sort_count,0.0
lasso,plan_time,index_scan_count,1.3666819016364986
lasso,plan_time,num_scans,0.7375693104275085
lasso,plan_time,nested_loop_count,0.7337339155938281
lasso,plan_time,sort_count,0.6622187582095787
lasso,plan_time,gather_merge_count,0.4702106930907412
lasso,plan_time,hash_join_count,0.41773373287290116
lasso,plan_time,gather_count,0.30907160629745317
lasso,plan_time,merge_join_count,0.303530963823245
lasso,plan_time,estimated_rows,0.2708579105986993
lasso,plan_time,index_only_scan_count,0.19545548532278179
lasso,plan_time,total_nodes,0.17653224447870144
lasso,plan_time,estimated_total_cost,0.16248094546337954
lasso,plan_time,root_node_type__Aggregate,0.13525150222658308
lasso,plan_time,num_aggregates,0.11423132434155328
lasso,plan_time,tree_depth,0.09164225750463949
lasso,plan_time,planning_time_ms,0.085091032938133
lasso,plan_time,root_node_type__Nested Loop,0.07440088713434641
lasso,plan_time,aggregate_count,0.0719679353836268
lasso,plan_time,root_node_type__Sort,0.03763508034445378
lasso,plan_time,bitmap_index_scan_count,0.012962999984361517
lasso,plan_time,materialize_count,0.008777667597248408
lasso,plan_time,hash_count,0.001626954462283662
lasso,plan_time,incremental_sort_count,0.0008419450524833877
lasso,plan_time,num_joins,0.0
lasso,plan_time,num_sorts,0.0
lasso,plan_time,seq_scan_count,0.0
lasso,plan_time,bitmap_heap_scan_count,0.0
lasso,plan_time,limit_count,0.0
lasso,plan_time,estimated_startup_cost,0.0
lasso,plan_time,max_subtree_cost,0.0
lasso,plan_time,root_node_type__Limit,0.0
