model,regime,kind,train_seconds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mape_pct_mean,mape_pct_std,q_error_median_mean,q_error_median_std,q_error_p95_mean,q_error_p95_std,spearman_rho_mean,spearman_rho_std,n_total
pg_baseline_linear,plan_time,baseline,0.016,4608.011889384285,1350.882206408621,7680.309409789724,2649.73068956434,-0.402087556926862,0.2733289190189548,116.10009597282324,84.8043327503169,1.8977632468608623,0.2922895508432532,9.60756108144859,3.915627358752554,0.3882039861345985,0.24042386172523258,87
pg_baseline_loglinear,plan_time,baseline,0.016,4574.104801081601,1531.6985068533622,7369.330775999707,2683.3228003670674,-0.26536026084012504,0.1281403950882261,114.65940919799168,60.506035046980834,1.984920377419071,0.30081355778060825,8.666918962455819,2.0671223523993856,0.3882039861345985,0.24042386172523258,87
catboost,plan_time,ml,10.301,4659.517152730016,1772.9288080794731,7233.934332431563,2914.043097815271,-0.18435087338280165,0.2405255289497937,117.27796798173252,66.78544761132031,2.1367649947703944,0.23679780114222138,7.268193884508816,1.4613033544524232,0.518611271881679,0.3519464911458809,87
xgboost,plan_time,ml,5.75,5311.820995262451,1842.6478432857896,8061.516780714359,2588.4229303222055,-0.6399075292603733,0.49249913094742603,125.67817542990254,56.8685428367718,2.3437337947198573,0.4039726174136185,8.290874348760644,2.4371344108514448,0.3918703147757806,0.37198497090320626,87
extra_trees,plan_time,ml,3.05,4938.813184604262,1715.686178080666,7799.48133122431,2853.0773709714563,-0.4184258895960909,0.3721658173326575,127.68450697542787,63.28646428446223,2.376118282691947,0.13794341232135807,9.563463333346444,2.1790099982279765,0.5022928854634896,0.23494903765354472,87
random_forest,plan_time,ml,3.86,5063.504717430649,1950.644648197089,7472.213146600227,2941.8114098521705,-0.2828121324308197,0.2794795497026005,116.58460331461556,46.17645094500226,2.4087660788042964,0.4604340657859006,6.9075758331858825,1.3976119887689658,0.36827989116582144,0.42320435481374574,87
lightgbm,plan_time,ml,15.546,5309.138469460713,2020.0962880389507,8195.827264581336,2545.7263225693487,-0.7728178559554564,0.6551996799874165,132.24823348499703,60.57619187650578,2.4505186944385295,0.9369758629994767,9.786846776324873,1.982507496888759,0.42405669352606984,0.3430110066314172,87
gradient_boosting,plan_time,ml,1.89,5076.84464808302,1867.334086202569,7507.982582397123,2675.3441208182726,-0.33743745050463214,0.23327509521485745,122.29554045468653,57.39729268667834,2.5625286932811155,0.44432240915599963,6.820497953351557,1.405644364278012,0.4370999401478171,0.410168270657808,87
ridge,plan_time,ml,0.031,5554.241546659906,1592.6857601444333,8297.52291450839,2596.093819108816,-0.689978802477596,0.36369891430629636,244.3495929911905,162.37901408178936,3.112254054244218,1.144022094824132,41.54589108074036,41.54837853622168,-0.25258145363408524,0.21287303518505687,87
lasso,plan_time,ml,0.102,7069.32490048131,2477.8666110350855,10295.30725110252,3957.3096528591614,-2.2556900745372155,3.000391192064446,423.20444225187214,340.26479979248137,3.7019925091410784,1.241992838267174,229.9003965140028,341.5267124070058,-0.4154975674480319,0.17399139953996864,87
linear_regression,plan_time,ml,0.033,25484.288490098326,31154.664695340885,49996.105916167115,58532.10342479609,-91.74709399574087,136.15483510865636,556.4846724210545,267.92234199592707,6.939134985765875,4.47913174346725,114.88087821880364,82.15491389933455,-0.12933427965435,0.29688794849500544,87
gradient_boosting,post_mortem,ml,2.852,401.09900111237005,291.60158948947947,903.3254056032143,824.7466310378986,0.9797692698227323,0.025783383836873824,6.056292638608731,4.016816079772706,1.0295302198347849,0.008614100873106153,1.2750349415493707,0.3142019161250862,0.9985227775320655,0.002278264135445271,87
extra_trees,post_mortem,ml,4.038,538.4323551726807,331.6048790724912,1179.4680061765118,760.3597175231383,0.9683551731354367,0.020261288480970415,8.86104234312007,5.435953544174962,1.0394063814426517,0.018820836710497092,1.391363305513894,0.4048488754866075,0.9963305322128851,0.0022099675864102456,87
random_forest,post_mortem,ml,5.071,605.05752257803,430.53624079500156,1289.5601850165715,1041.2929439622292,0.9598490116650428,0.03636138632220972,10.2612280259515,5.682040709678029,1.0592324107682918,0.033165335515722615,1.4536360668169057,0.4357552129422829,0.9944390387734041,0.003007828089538612,87
xgboost,post_mortem,ml,5.739,737.7187835186447,303.08499411908247,1349.672360732899,529.5534138479063,0.9562397602663086,0.01360508998682265,10.705705277604286,3.9788497710094846,1.081963590028379,0.06823336641947658,1.3662801864238356,0.17497557683561002,0.995832109087251,0.0022432726738106272,87
lightgbm,post_mortem,ml,19.703,660.0383927013477,405.7085439333699,1336.0984390330077,1147.17386594489,0.9559102764453506,0.053027149857855144,14.01661035026451,5.834409250771368,1.0893405685484403,0.046448389476709935,1.5919782093090458,0.4054898396046274,0.9877291233413397,0.005797511952573556,87
catboost,post_mortem,ml,13.919,1870.4489405514396,1148.514730409869,3417.399658690224,1944.396927451804,0.7538821876282583,0.13952629445571782,31.305258794965198,10.702833721384831,1.2253754025187011,0.06361564851970099,2.2844433135310434,0.6988204419786357,0.9749520860975969,0.015894299536804577,87
pg_baseline_linear,post_mortem,baseline,0.018,4608.011889384285,1350.882206408621,7680.309409789724,2649.73068956434,-0.402087556926862,0.2733289190189548,116.10009597282324,84.8043327503169,1.8977632468608623,0.2922895508432532,9.60756108144859,3.915627358752554,0.3882039861345985,0.24042386172523258,87
pg_baseline_loglinear,post_mortem,baseline,0.016,4574.104801081601,1531.6985068533622,7369.330775999707,2683.3228003670674,-0.26536026084012504,0.1281403950882261,114.65940919799168,60.506035046980834,1.984920377419071,0.30081355778060825,8.666918962455819,2.0671223523993856,0.3882039861345985,0.24042386172523258,87
ridge,post_mortem,ml,0.036,6671.076620336697,5616.112497286297,15130.025674285152,18985.340150705928,-6.205032552294429,12.569344617826246,159.31471219554322,65.42474335017877,2.4754518492597235,1.0053486066487696,317.2776784117538,541.4052810080992,0.3749640160801889,0.2420506825690597,87
lasso,post_mortem,ml,0.158,9628.032565374455,6111.260974748084,22434.708088586078,19059.754873714857,-15.643758568833324,23.366832921161773,438.4810277938267,496.7695919697094,3.178906775650101,1.4945189690979268,307.2581728885621,543.7824048146256,0.3088139271570482,0.12923172923853884,87
linear_regression,post_mortem,ml,0.037,11938.674245533804,13429.854687237703,24294.35083106989,33908.3838684489,-38.84861180770012,76.51395643773068,678.5634822685992,986.7690397605978,6.453743423696878,3.8538431585162223,5404.345933838102,10028.298371936988,0.13207513550928351,0.3424697729065341,87
