model,regime,kind,train_seconds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mape_pct_mean,mape_pct_std,q_error_median_mean,q_error_median_std,q_error_p95_mean,q_error_p95_std,spearman_rho_mean,spearman_rho_std,n_total,plan_pick_acc,regret_ms_mean,regret_ratio_p95
xgboost,plan_time,default_ml,12.566,1505.9521112986201,419.7570408267243,6382.205489265172,5757.093703225936,0.6224655226023312,0.2657411370562439,37.738396134266026,3.430270354319569,1.2422580346671857,0.02861638577156491,2.8000949092982648,0.2727450169205457,0.9553628280027746,0.008473832461296448,1167,0.4338235294117647,519.1937775735294,0.880940116868594
gradient_boosting,plan_time,default_ml,11.999,1473.1270234987926,400.1643976747315,6347.293012786726,5757.261691221964,0.6273494238484957,0.265854376378475,40.70250960547224,7.848381721678985,1.2468114436179563,0.028038335598560827,2.763074079729679,0.26437632728992383,0.9588854132035713,0.0051713542657993656,1167,0.4007352941176471,624.7854834558824,1.1046471176147106
lightgbm,plan_time,default_ml,27.032,1575.5713396176016,450.14041503397715,6493.451360500334,5935.0965383955745,0.6096151022887016,0.2848044577926189,48.89883715177609,18.22088296755363,1.2548578658397147,0.022748821353727255,3.5800418535976135,1.426906361093444,0.9498862286776193,0.010017569539347604,1167,0.3897058823529412,1597.9513253676469,1.1046471176147106
catboost,plan_time,default_ml,22.644,1468.2158533618576,432.3726969021373,6324.282795833211,5934.945911773563,0.6315400686294901,0.28584325792479887,82.42028081907094,44.61221524593175,1.259876057657073,0.018850330822604094,5.193134868447234,3.9351049747697915,0.9592981079737178,0.010820421322633868,1167,0.4227941176470588,1704.8461488970586,0.8162650253076829
random_forest,plan_time,default_ml,7.832,1518.6847964946494,408.89381089769546,6398.814254992844,5881.004822987382,0.6212597016424402,0.2797917170466963,41.10372788052898,10.52355020937142,1.2658872577800877,0.02137353955040125,2.7708074357681016,0.18377593176329193,0.9546112312849067,0.006598766821990348,1167,0.43014705882352944,491.77224264705876,0.7814029931494929
extra_trees,plan_time,default_ml,4.968,1595.330927810634,443.7323327210682,6541.853512462669,5812.439554484274,0.5999612206415339,0.27287027262787505,47.14487024937604,14.494662895738553,1.2665727051059277,0.026838284371626556,2.9137951756145553,0.06875364127261753,0.9488280491244426,0.009776363188100488,1167,0.4264705882352941,461.9924466911765,0.7814029931494929
ridge,plan_time,default_ml,0.063,2516.195314795697,432.4156699861452,8016.377278769185,5444.111795990106,0.34892683348065606,0.17446284970485337,237.19000768717007,351.43736165854085,1.4958678417169655,0.08344542874214983,5.1443498023305025,1.9978434596194663,0.8828545398419824,0.03641524926732806,1167,0.3382352941176471,2061.4001488970584,2.330438027620014
elasticnet,plan_time,default_ml,0.476,2507.794270476681,425.6341414763893,7981.2784469375565,5455.228850772223,0.35587220486374493,0.17597192939953588,117.39514703222805,111.85264950697062,1.5012964952096204,0.08444531122834568,5.0896100824938415,1.914604861179629,0.8829990568121889,0.03603087552875707,1167,0.34558823529411764,2038.0158088235291,2.2205537016320602
lasso,plan_time,default_ml,0.406,2508.8350695037125,421.1398758494791,7980.879979344642,5454.614317549195,0.35600450853332594,0.17589068539707797,75.12690531464764,28.618723217915328,1.5056330621141654,0.08200130645678955,4.940389604174896,1.698814528448437,0.8846654544734183,0.03656847355680818,1167,0.34558823529411764,1994.6760055147058,2.2205537016320602
pg_baseline_loglinear,plan_time,baseline,0.03,3300.103206306936,255.41493851046937,8507.450810860126,3201.126864251406,0.10486213505422033,0.14463009201252094,106.37145017174241,12.216406205039833,1.8419421770026916,0.10720038747813844,9.584426386224909,1.6303646795801954,0.6846598275343077,0.02551787690007541,1167,0.2647058823529412,2266.620643382353,4.916293768295295
pg_baseline_linear,plan_time,baseline,0.127,3683.1238773666905,286.0329559908011,7658.958976467303,1111.5549292746248,0.11066908078062243,0.32468665807764563,151.0606307984354,24.855365124557046,1.9090594374843142,0.02432180385039039,7.649739042606266,1.0407677267360638,0.6846598275343077,0.02551787690007541,1167,0.2647058823529412,2266.620643382353,4.916293768295295
