model,regime,accuracy,groups_eval,top1_count,regret_ms_mean,regret_ratio_p95
catboost,plan_time,0.44696969696969696,132,59,2794.9220075757567,1.7456027140000463
catboost,post_mortem,0.946969696969697,132,125,13.299590909090895,0.002476870578678018
elasticnet,plan_time,0.3560606060606061,132,47,3067.449659090909,1.7117145115044778
elasticnet,post_mortem,0.6893939393939394,132,91,335.6918863636364,0.5594175013301924
extra_trees,plan_time,0.3939393939393939,132,52,686.5549015151515,1.3522341143655372
extra_trees,post_mortem,0.9848484848484849,132,130,0.1232121212121208,0.0
extra_trees_tuned,plan_time,0.48484848484848486,132,64,412.2466515151514,1.4934125238625702
extra_trees_tuned,post_mortem,0.9696969696969697,132,128,0.6369621212121267,0.0
gradient_boosting,plan_time,0.45454545454545453,132,60,685.6253257575756,1.8655508124725928
gradient_boosting,post_mortem,0.946969696969697,132,125,0.7401893939393962,0.0016135156475852656
gradient_boosting_tuned,plan_time,0.4772727272727273,132,63,2752.64103030303,1.301777830722155
gradient_boosting_tuned,post_mortem,0.9621212121212122,132,127,3.3037348484848534,0.0
lasso,plan_time,0.3333333333333333,132,44,3138.218787878788,1.7117145115044778
lasso,post_mortem,0.6893939393939394,132,91,335.71554545454546,0.5594175013301924
lightgbm,plan_time,0.4696969696969697,132,62,781.5502727272727,1.534297634115141
lightgbm,post_mortem,0.9545454545454546,132,126,10.990772727272713,0.0
lightgbm_tuned,plan_time,0.5075757575757576,132,67,586.6198939393939,1.2155247363157229
lightgbm_tuned,post_mortem,0.9393939393939394,132,124,11.642386363636357,0.005954502052000442
pg_baseline_linear,plan_time,0.20454545454545456,132,27,4366.259924242425,6.232008163130837
pg_baseline_linear,post_mortem,0.20454545454545456,132,27,4366.259924242425,6.232008163130837
pg_baseline_loglinear,plan_time,0.20454545454545456,132,27,4366.259924242425,6.232008163130837
pg_baseline_loglinear,post_mortem,0.20454545454545456,132,27,4366.259924242425,6.232008163130837
random_forest,plan_time,0.45454545454545453,132,60,745.8968636363636,0.7775656765468186
random_forest,post_mortem,0.9772727272727273,132,129,0.16584848484848497,0.0
random_forest_tuned,plan_time,0.4772727272727273,132,63,2650.4931439393936,1.1316477201475794
random_forest_tuned,post_mortem,0.9696969696969697,132,128,0.1574924242424245,0.0
ridge,plan_time,0.32575757575757575,132,43,3217.6729469696966,1.7482000670120985
ridge,post_mortem,0.696969696969697,132,92,335.56409090909096,0.5594175013301924
xgboost,plan_time,0.45454545454545453,132,60,699.6134393939394,1.6639718228536315
xgboost,post_mortem,0.946969696969697,132,125,2.9218409090909154,0.0026493205191370326
xgboost_tuned,plan_time,0.48484848484848486,132,64,629.7447348484848,1.7456027140000463
xgboost_tuned,post_mortem,0.9621212121212122,132,127,3.0689772727272695,0.0
